oID	descriptor	value	sigma
702	FRUIT	0.041667	0.20412
750	FRUIT	6.4524	12.793
753	FRUIT	0	0
962	FRUIT	4.16	15.66
1031	FRUIT	2.1333	10.441
3102	FRUIT	3.6042	12.149
3314	FRUIT	6.5417	15.451
5862	FRUIT	0	0
5962	FRUIT	0.64583	2.7405
6274	FRUIT	0.28571	1.5505
6322	FRUIT	0	0
6506	FRUIT	2.8378	9.6336
6544	FRUIT	7.0444	21.524
6561	FRUIT	1.1429	7.8555
6669	FRUIT	2.7619	9.2521
7092	FRUIT	4.4894	16.855
7137	FRUIT	4.7727	14.089
7302	FRUIT	1.0526	4.1456
7476	FRUIT	4.3469	12.141
7559	FRUIT	4.8163	15.096
7657	FRUIT	19.735	32.488
7770	FRUIT	16.061	28.488
7793	FRUIT	17.143	32.488
7797	FRUIT	21.435	30.6
8025	FRUIT	5.6154	20.158
8049	FRUIT	32.773	35.832
8094	FRUIT	0.020408	0.14286
8419	FRUIT	7.125	20.661
8438	FRUIT	14.347	25.37
8468	FRUIT	3.0889	11.542
8815	FRUIT	7.7447	17.911
8878	FRUIT	26.896	35.377
9012	FRUIT	0	0
10886	FRUIT	12.125	27.08
11567	FRUIT	5.9792	20.729
12020	FRUIT	5.65	21.326
12265	FRUIT	0.5	3.3198
12377	FRUIT	0.081633	0.57143
15654	FRUIT	0.020408	0.14286
16537	FRUIT	0.48718	2.2696
17898	FRUIT	0.77551	3.9331
18467	FRUIT	0.54348	2.198
21363	FRUIT	0.43478	2.802
27440	FRUIT	1.8723	12.106
31219	FRUIT	22.81	29.732
31276	FRUIT	30.86	38.091
31283	FRUIT	5.475	16.541
60998	FRUIT	5.0909	19.187
61523	FRUIT	10.978	22.395
62089	FRUIT	1.25	7.5498
62351	FRUIT	5.4375	20.861
62465	FRUIT	0.020833	0.14434
251531	FRUIT	1.8837	6.0443
440917	FRUIT	4.5429	14.73
637758	FRUIT	18.651	28.714
853433	FRUIT	3.7755	12.2
1549025	FRUIT	16.319	30.488
2733294	FRUIT	12.702	27.822
5281167	FRUIT	8.3673	21.333
5281168	FRUIT	6.8298	22.896
5318599	FRUIT	2.4375	6.4012
5352837	FRUIT	21.438	32.565
5364231	FRUIT	11.531	27.339
5371102	FRUIT	0.69767	3.3984
10857465	FRUIT	4.1522	17.115
180	FISH	2.2812	7.9565
262	FISH	3.5294	17.354
264	FISH	4.1633	14.03
323	FISH	0.020408	0.14286
702	FISH	0	0
750	FISH	1.9762	6.3572
753	FISH	3.8571	9.9294
962	FISH	1.12	3.972
1031	FISH	0.033333	0.18257
3102	FISH	0.25	1.5912
3314	FISH	0.020833	0.14434
5862	FISH	7.1364	17.767
5962	FISH	4.7708	17.992
6274	FISH	0.2619	1.547
6322	FISH	0	0
6506	FISH	0.91892	4.1458
6544	FISH	0.2	1.0574
6561	FISH	2.102	6.9799
6669	FISH	0	0
7092	FISH	0.021277	0.14586
7137	FISH	0.11364	0.61817
7302	FISH	4.5	17.514
7476	FISH	0.020408	0.14286
7559	FISH	0.20408	1.1543
7657	FISH	0.020408	0.14286
7770	FISH	0.97959	5.1619
7793	FISH	0.14286	1
7797	FISH	0.021739	0.14744
8025	FISH	1	6.0828
8049	FISH	0.022727	0.15076
8094	FISH	1.3265	7.0041
8419	FISH	0	0
8438	FISH	0.020408	0.14286
8468	FISH	0.022222	0.14907
8815	FISH	0.021277	0.14586
8878	FISH	1.8958	12.145
9012	FISH	5.1458	13.228
10886	FISH	0.54167	3.6083
11567	FISH	0.27083	1.5944
12020	FISH	0.85	3.6833
12265	FISH	0.58333	3.0376
12377	FISH	8.5306	24.099
15654	FISH	0.44898	2.4838
16537	FISH	0.69231	4.3235
17898	FISH	0.020408	0.14286
18467	FISH	3.1304	14.298
21363	FISH	4.087	13.355
27440	FISH	4.5106	15.825
31219	FISH	0	0
31276	FISH	0.023256	0.1525
31283	FISH	2.4	10.035
60998	FISH	1.4545	8.2447
61523	FISH	0.88889	5.0056
62089	FISH	1.9792	10.983
62351	FISH	10.521	25.027
62465	FISH	2.1042	14.431
251531	FISH	0.046512	0.21308
440917	FISH	0.028571	0.16903
637758	FISH	0.023256	0.1525
853433	FISH	0.28571	1.8597
1549025	FISH	0.021277	0.14586
2733294	FISH	1.0638	7.1457
5281167	FISH	2.6735	12.977
5281168	FISH	1.8511	8.6803
5318599	FISH	0.60417	3.8962
5352837	FISH	2.1042	14.431
5364231	FISH	1.9388	13.138
5371102	FISH	0.023256	0.1525
10857465	FISH	0.021739	0.14744
180	GARLIC	2.5938	13.127
262	GARLIC	3.6176	16.302
264	GARLIC	7.4694	21.88
323	GARLIC	0.020408	0.14286
702	GARLIC	2.0417	10.002
750	GARLIC	2.4048	7.7682
753	GARLIC	1.2857	4.8107
962	GARLIC	1.52	6.0008
1031	GARLIC	3.6667	13.497
3102	GARLIC	0.52083	3.3198
3314	GARLIC	0.083333	0.45351
5862	GARLIC	5.5227	15.839
5962	GARLIC	3.7708	15.694
6274	GARLIC	0.2381	1.3935
6322	GARLIC	2.9412	12.127
6506	GARLIC	2.3514	8.2839
6544	GARLIC	1.3111	6.898
6561	GARLIC	1.6735	8.4567
6669	GARLIC	0	0
7092	GARLIC	2.4681	11.872
7137	GARLIC	0.65909	3.5302
7302	GARLIC	6.6316	18.541
7476	GARLIC	1.6531	9.0704
7559	GARLIC	1.3469	7.6309
7657	GARLIC	1.2449	6.0261
7770	GARLIC	0.14286	0.86603
7793	GARLIC	0.020408	0.14286
7797	GARLIC	0.043478	0.29488
8025	GARLIC	1.2564	5.4373
8049	GARLIC	0.68182	4.371
8094	GARLIC	5.3061	15.589
8419	GARLIC	0	0
8438	GARLIC	0.020408	0.14286
8468	GARLIC	0.37778	2.3864
8815	GARLIC	0.7234	2.7402
8878	GARLIC	0.3125	1.5181
9012	GARLIC	8.25	21.502
10886	GARLIC	0.020833	0.14434
11567	GARLIC	0.79167	5.1939
12020	GARLIC	3.3	15.973
12265	GARLIC	5.6667	20.219
12377	GARLIC	46.776	39.901
15654	GARLIC	1.2245	6.145
16537	GARLIC	2.2821	14.251
17898	GARLIC	0.87755	5.077
18467	GARLIC	4.087	15.414
21363	GARLIC	2.2826	12.445
27440	GARLIC	8.0638	20.506
31219	GARLIC	0	0
31276	GARLIC	0.023256	0.1525
31283	GARLIC	2.4	8.8919
60998	GARLIC	1.9773	13.116
61523	GARLIC	0.57778	2.9115
62089	GARLIC	1.5208	7.128
62351	GARLIC	16.792	31.055
62465	GARLIC	3.2083	10.248
251531	GARLIC	2.8372	13.189
440917	GARLIC	0.028571	0.16903
637758	GARLIC	0.023256	0.1525
853433	GARLIC	2.2857	12.305
1549025	GARLIC	1.234	7.6021
2733294	GARLIC	1.9149	9.1172
5281167	GARLIC	1.3265	5.4635
5281168	GARLIC	3.5319	14.14
5318599	GARLIC	0.39583	2.4559
5352837	GARLIC	0.4375	2.4832
5364231	GARLIC	1.4082	6.955
5371102	GARLIC	1.1395	5.5574
10857465	GARLIC	1.413	7.3138
180	SPICES	4.375	14.393
262	SPICES	1.2647	5.017
264	SPICES	4.3469	12.797
323	SPICES	8.7347	21.668
702	SPICES	9.5	24.996
750	SPICES	4.619	13.478
753	SPICES	13.786	30.915
962	SPICES	10.36	24.898
1031	SPICES	9.9667	19.118
3102	SPICES	0.66667	2.8978
3314	SPICES	40.708	37.422
5862	SPICES	5.5909	16.635
5962	SPICES	4.7708	14.836
6274	SPICES	5.4762	13.21
6322	SPICES	5.4118	12.821
6506	SPICES	4.5405	11.507
6544	SPICES	4.1333	13.242
6561	SPICES	5.6327	16.347
6669	SPICES	5.4286	16.326
7092	SPICES	8.7234	22.787
7137	SPICES	19.727	33.253
7302	SPICES	4.6316	13.32
7476	SPICES	15	26.842
7559	SPICES	3.6531	10.929
7657	SPICES	9.6939	23.888
7770	SPICES	2.449	7.6378
7793	SPICES	4.6939	16.296
7797	SPICES	6.3261	20.274
8025	SPICES	7.3077	20.1
8049	SPICES	3.7273	12.139
8094	SPICES	2.1633	7.8218
8419	SPICES	10.958	27.313
8438	SPICES	9.7551	25.219
8468	SPICES	4.3111	12.058
8815	SPICES	16.234	28.608
8878	SPICES	4.5417	15.431
9012	SPICES	8.125	20.183
10886	SPICES	3.9792	11.462
11567	SPICES	4.5417	15.184
12020	SPICES	5.5	19.696
12265	SPICES	11.938	25.653
12377	SPICES	29.633	35.922
15654	SPICES	3.6327	16.009
16537	SPICES	3.2051	11.291
17898	SPICES	10.714	23.014
18467	SPICES	2.3696	7.2368
21363	SPICES	3.6522	16.094
27440	SPICES	4.2766	12.882
31219	SPICES	2.9048	10.036
31276	SPICES	2.1395	6.2396
31283	SPICES	4.925	12.871
60998	SPICES	3.2955	9.5396
61523	SPICES	4.0444	13.615
62089	SPICES	6.4167	18.684
62351	SPICES	12.75	28.871
62465	SPICES	19.188	32.062
251531	SPICES	1.907	6.7394
440917	SPICES	10.2	21.414
637758	SPICES	5.3023	13.442
853433	SPICES	36.286	40.488
1549025	SPICES	3.1277	9.2586
2733294	SPICES	2.1702	9.705
5281167	SPICES	6.7755	17.317
5281168	SPICES	5.1064	12.994
5318599	SPICES	6.7917	19.534
5352837	SPICES	6.9167	16.558
5364231	SPICES	3.4694	13.427
5371102	SPICES	3.1628	10.497
10857465	SPICES	4.2609	17.566
180	COLD	7.625	20.705
262	COLD	2.1471	7.932
264	COLD	1.1429	6.045
323	COLD	6.3673	18.658
702	COLD	3.25	14.501
750	COLD	2.619	7.9662
753	COLD	27.071	36.182
962	COLD	2.6	11.24
1031	COLD	4.8333	19.151
3102	COLD	7.2083	21.199
3314	COLD	6.5208	22.344
5862	COLD	0	0
5962	COLD	1.5417	6.1781
6274	COLD	7.0952	21.979
6322	COLD	8.7059	20.04
6506	COLD	5.7027	16.01
6544	COLD	5.8	18.207
6561	COLD	4.2245	10.601
6669	COLD	4.7143	15.761
7092	COLD	5.8511	19.274
7137	COLD	4.0455	15.519
7302	COLD	3.6053	16.983
7476	COLD	0.91837	4.4946
7559	COLD	7.898	19.928
7657	COLD	7.7143	23.374
7770	COLD	0.2449	1.3155
7793	COLD	4.898	19
7797	COLD	6.4783	23.13
8025	COLD	7.359	21.169
8049	COLD	3.1136	9.9
8094	COLD	1.4286	6.0035
8419	COLD	2.0833	8.8794
8438	COLD	2.898	11.185
8468	COLD	1.9333	11.391
8815	COLD	1	3.4704
8878	COLD	4.8333	18.24
9012	COLD	2.4167	9.9698
10886	COLD	2.875	14.614
11567	COLD	8.3958	21.666
12020	COLD	3.375	12.401
12265	COLD	2.8958	15.059
12377	COLD	0.73469	3.7404
15654	COLD	7.2041	21.535
16537	COLD	3.4615	15.219
17898	COLD	1.5306	7.6841
18467	COLD	2.6522	12.104
21363	COLD	5.1304	17.996
27440	COLD	3.2979	11.01
31219	COLD	6.5476	19.461
31276	COLD	7.0698	22.481
31283	COLD	5.35	17.478
60998	COLD	1.5682	6.8145
61523	COLD	1.7111	6.8677
62089	COLD	3.5833	14.525
62351	COLD	1.9583	8.6072
62465	COLD	2.4167	11.808
251531	COLD	1.8837	6.7901
440917	COLD	7	19.845
637758	COLD	5.5581	18.283
853433	COLD	4.3265	16.722
1549025	COLD	8.4255	20.561
2733294	COLD	4.2128	14.284
5281167	COLD	4.898	19.368
5281168	COLD	3.9574	12.316
5318599	COLD	7.3125	22.038
5352837	COLD	12.312	28.438
5364231	COLD	5.3878	15.77
5371102	COLD	4.2558	16.307
10857465	COLD	9.2391	26.086
180	SOUR	9.0312	19.415
262	SOUR	13.265	26.395
264	SOUR	27.408	36.707
323	SOUR	4.4694	12.26
702	SOUR	4.2917	15.429
750	SOUR	8.5	19.733
753	SOUR	6.4286	13.346
962	SOUR	0.6	1.9579
1031	SOUR	5.6	14.533
3102	SOUR	6.4583	17.481
3314	SOUR	4.2292	13.673
5862	SOUR	20.25	33.215
5962	SOUR	14.167	28.753
6274	SOUR	7.4048	17.968
6322	SOUR	7.2941	22.27
6506	SOUR	10.027	21.376
6544	SOUR	4.7111	15.95
6561	SOUR	16.735	27.082
6669	SOUR	3.3095	11.248
7092	SOUR	3.7872	11.035
7137	SOUR	4.4545	12.934
7302	SOUR	18.526	33.631
7476	SOUR	2.1224	7.8253
7559	SOUR	10.939	21.531
7657	SOUR	2.8367	11.72
7770	SOUR	14.347	26.085
7793	SOUR	5.7959	15.667
7797	SOUR	4.8478	15.69
8025	SOUR	3.8462	16.034
8049	SOUR	3.0682	11.012
8094	SOUR	15.306	28.446
8419	SOUR	0.4375	2.3147
8438	SOUR	1.7959	7.5415
8468	SOUR	1.7333	8.2721
8815	SOUR	3.2553	9.3773
8878	SOUR	3.2917	13.835
9012	SOUR	8.0625	17.312
10886	SOUR	10.396	22.536
11567	SOUR	3.2292	11.885
12020	SOUR	6.275	18.271
12265	SOUR	8.7708	24.146
12377	SOUR	6.8163	17.36
15654	SOUR	11.082	21.494
16537	SOUR	9.1026	23.168
17898	SOUR	9.4694	23.792
18467	SOUR	9.913	23.559
21363	SOUR	13.283	26.716
27440	SOUR	13.362	25.079
31219	SOUR	1.0952	4.6738
31276	SOUR	3.2791	14.198
31283	SOUR	8.725	18.176
60998	SOUR	6.6136	18.031
61523	SOUR	3.7333	12.612
62089	SOUR	13.167	24.026
62351	SOUR	11	21.537
62465	SOUR	5.7708	18.346
251531	SOUR	6.3488	16.844
440917	SOUR	6.2286	19.774
637758	SOUR	7.8372	20.893
853433	SOUR	1.9184	9.4535
1549025	SOUR	9.3404	22.341
2733294	SOUR	8.4043	18.362
5281167	SOUR	7.5918	20.536
5281168	SOUR	19.128	26.956
5318599	SOUR	5.75	14.39
5352837	SOUR	3.875	10.103
5364231	SOUR	5	15.233
5371102	SOUR	6.0465	17.962
10857465	SOUR	4.2609	13.496
180	BURNT	2.9062	13.925
262	BURNT	1.2647	7.1998
264	BURNT	7.3878	16.107
323	BURNT	6.2449	17.374
702	BURNT	0.20833	1.0206
750	BURNT	2.9286	9.4
753	BURNT	0	0
962	BURNT	3.08	12.456
1031	BURNT	1.3667	6.5836
3102	BURNT	13.833	27.671
3314	BURNT	1.8958	6.8734
5862	BURNT	14.864	30.68
5962	BURNT	11.521	27.215
6274	BURNT	6.4048	14.518
6322	BURNT	6.2941	17.449
6506	BURNT	2.5946	7.5405
6544	BURNT	1.2444	5.223
6561	BURNT	8.7959	20.506
6669	BURNT	0.047619	0.21554
7092	BURNT	3.766	10.563
7137	BURNT	8.2045	24.599
7302	BURNT	4.5	15.905
7476	BURNT	4.3265	14.916
7559	BURNT	0.89796	3.6756
7657	BURNT	1.3265	6.2928
7770	BURNT	3.4286	11.809
7793	BURNT	4.9592	15.688
7797	BURNT	0.17391	1.0393
8025	BURNT	3.5128	15.48
8049	BURNT	0.18182	0.81477
8094	BURNT	8.8776	21.94
8419	BURNT	4.0208	14.955
8438	BURNT	3	12.876
8468	BURNT	7.0889	18.534
8815	BURNT	2.3617	10.884
8878	BURNT	1.0833	5.6223
9012	BURNT	45.5	42.55
10886	BURNT	1.6458	6.6348
11567	BURNT	8.5625	20.924
12020	BURNT	7.65	21.012
12265	BURNT	9.5833	21.425
12377	BURNT	7.8163	20.236
15654	BURNT	10.816	23.238
16537	BURNT	2.2564	8.372
17898	BURNT	18.857	31.973
18467	BURNT	9.3043	21.572
21363	BURNT	4.8043	14.598
27440	BURNT	8.1064	20.709
31219	BURNT	0	0
31276	BURNT	2.6512	11.602
31283	BURNT	5.975	16.719
60998	BURNT	4.2045	12.13
61523	BURNT	4.5333	16.872
62089	BURNT	11.521	24.823
62351	BURNT	2.5417	9.4979
62465	BURNT	20.646	33.355
251531	BURNT	3	13.87
440917	BURNT	0.68571	3.8864
637758	BURNT	1.8372	7.1245
853433	BURNT	7.3878	19.562
1549025	BURNT	1.6383	6.992
2733294	BURNT	4.5319	15.15
5281167	BURNT	3.4898	12.638
5281168	BURNT	4.6596	15.843
5318599	BURNT	5.5	15.355
5352837	BURNT	1.5208	7.4319
5364231	BURNT	1.8776	10.937
5371102	BURNT	6.4186	18.26
10857465	BURNT	2.2391	14.302
180	ACID	3.2188	11.46
262	ACID	2.3235	11.159
264	ACID	6.5918	17.278
323	ACID	3.4286	10.805
702	ACID	1.3333	6.532
750	ACID	5.2857	15.296
753	ACID	0	0
962	ACID	0.04	0.2
1031	ACID	1.4667	4.2567
3102	ACID	14	25.116
